,loss,active_neurons
0,0.0885373204946518,274
1,0.08676984161138535,270
2,0.0803181454539299,212
3,0.07574815303087234,178
4,0.06802526116371155,172
5,0.06862830370664597,166
6,0.06744498014450073,158
7,0.0623774528503418,151
8,0.05723094195127487,155
9,0.05452904477715492,160
10,0.051216091960668564,155
11,0.04785117506980896,149
12,0.04418979585170746,156
13,0.04342687129974365,153
14,0.041001349687576294,153
15,0.03955448791384697,152
16,0.03721132129430771,156
17,0.03683793544769287,151
18,0.03605686500668526,152
19,0.03468211367726326,155
20,0.034222736954689026,152
21,0.032787859439849854,154
22,0.03305640444159508,155
23,0.03156346082687378,154
24,0.029775042086839676,156
25,0.028980249539017677,155
26,0.029236456379294395,157
27,0.02975931204855442,155
28,0.028411831706762314,156
29,0.027592241764068604,154
30,0.027635935693979263,159
31,0.02784028649330139,156
32,0.028443319723010063,155
33,0.027623092755675316,156
34,0.026715470477938652,156
35,0.025947026908397675,158
36,0.025773227214813232,156
37,0.02531798556447029,156
38,0.024655163288116455,157
39,0.02478855289518833,156
40,0.024511465802788734,156
41,0.02470214292407036,156
42,0.02474212273955345,157
43,0.02462923340499401,156
44,0.023760585114359856,157
45,0.02352437749505043,155
46,0.023569276556372643,156
47,0.023798301815986633,157
48,0.023399773985147476,157
49,0.0245763398706913,156
50,0.02268768846988678,157
51,0.02247805893421173,156
52,0.02169954590499401,157
53,0.022801918908953667,156
54,0.022511892020702362,158
55,0.021391263231635094,158
56,0.022157803177833557,158
57,0.022305471822619438,157
58,0.02150844968855381,157
59,0.021078672260046005,156
60,0.022038403898477554,160
61,0.0211915522813797,156
62,0.0222459863871336,157
63,0.020887065678834915,158
64,0.022200513631105423,158
65,0.022366879507899284,159
66,0.021220842376351357,159
67,0.02181353233754635,156
68,0.021131794899702072,160
69,0.02073594182729721,159
70,0.02054409310221672,160
71,0.02135072834789753,161
72,0.02011309564113617,160
73,0.01901637576520443,160
74,0.020600231364369392,159
75,0.02006205916404724,161
76,0.020752791315317154,160
77,0.020445534959435463,160
78,0.019814230501651764,161
79,0.019571682438254356,160
80,0.02005055546760559,160
81,0.019965089857578278,160
82,0.01991659216582775,160
83,0.019594574347138405,160
84,0.019150594249367714,161
85,0.02022096887230873,161
86,0.019147321581840515,160
87,0.019360117614269257,161
88,0.019994743168354034,160
89,0.01844950020313263,161
90,0.01930341124534607,161
91,0.019319847226142883,160
92,0.01986430212855339,161
93,0.01978185772895813,161
94,0.018823446705937386,161
95,0.01808048039674759,161
96,0.01880812644958496,160
97,0.019169609993696213,161
98,0.019184578210115433,161
99,0.017813676968216896,161
100,0.018735557794570923,161
101,0.01831483468413353,161
102,0.019279329106211662,161
103,0.0187899898737669,162
104,0.018197987228631973,161
105,0.017299488186836243,162
106,0.017789164558053017,162
107,0.01829509809613228,162
108,0.01942434348165989,162
109,0.01811489835381508,162
110,0.016881730407476425,162
111,0.018391691148281097,161
112,0.017869247123599052,161
113,0.01736598089337349,162
114,0.017819669097661972,162
115,0.016669511795043945,162
116,0.01773216389119625,162
117,0.017462093383073807,161
118,0.017680270597338676,162
119,0.01745164394378662,161
120,0.017419733107089996,162
121,0.017683150246739388,161
122,0.017268996685743332,162
123,0.016929490491747856,161
124,0.016491882503032684,162
125,0.01681155525147915,160
126,0.016940200701355934,161
127,0.01725614070892334,161
128,0.01685604825615883,162
129,0.016733422875404358,161
130,0.016311680898070335,161
131,0.016430484130978584,161
132,0.01704009622335434,163
133,0.016503728926181793,162
134,0.01667654700577259,162
135,0.01759297400712967,162
136,0.01601729914546013,162
137,0.01711646281182766,162
138,0.016205640509724617,161
139,0.016547104343771935,162
140,0.01687121018767357,162
141,0.016240311786532402,162
142,0.016214853152632713,161
143,0.01592477783560753,162
144,0.017147580161690712,162
145,0.015992188826203346,162
146,0.016376473009586334,161
147,0.01582207717001438,161
148,0.016071034595370293,162
149,0.01710169017314911,162
150,0.016734551638364792,162
151,0.016011962667107582,162
152,0.0164119154214859,161
153,0.01575799286365509,161
154,0.01601564884185791,162
155,0.015904486179351807,162
156,0.016664009541273117,161
157,0.016104478389024734,162
158,0.01597745716571808,162
